BorrowerID,LoanDate,LoanAmount,InterestRate,LoanTermMonths,CreditScore,AnnualIncome,DebtToIncomeRatio,EmploymentLengthYears,HomeOwnership,Purpose,MonthlyPayment,OpenAccounts,TotalAccounts,MonthsSinceLastDelinquency,RevolvingUtilization,HasBankruptcies,HasTaxLiens,State,Age,EducationLevel,MaritalStatus,NumberOfDependents,TimeAtCurrentAddressMonths,Defaulted
1,2023-01-31,37142,0.10822884955703581,12,751,187207,0.5215889603264202,3,Own,Other,1115,11,18,10.0,0.3992148743864111,0,0,CA,26,Associate's,Divorced,4,52,0
2,2023-12-30,40198,0.09141898363531425,60,689,93631,0.34049012302316406,4,Rent,Home Improvement,435,7,21,16.0,0.6530559079950671,0,0,PA,29,High School,Married,4,67,0
3,2022-05-10,45738,0.08046555713253577,24,651,57909,0.20301186179104216,7,Mortgage,Home Improvement,765,7,23,32.0,0.18561469070639625,0,0,GA,42,Associate's,Single,1,85,0
4,2023-07-18,34397,0.22989104250922032,12,801,89487,0.5142222692771927,0,Own,Business,1094,5,12,10.0,0.8239170278274891,0,0,CA,68,High School,Single,0,75,0
5,2023-02-04,17653,0.19202708635961319,24,777,172540,0.3688862456378217,5,Rent,Credit Card Refinancing,180,3,13,38.0,0.1801933868998743,0,0,TX,26,High School,Divorced,1,136,0
6,2022-12-31,11831,0.23747568763286417,12,638,67655,0.17652129858191065,14,Mortgage,Debt Consolidation,186,7,26,7.0,0.3865091483149067,0,0,CA,34,Master's,Married,0,159,0
7,2022-11-10,6724,0.1706583611429886,36,675,185413,0.35279291559219883,3,Own,Credit Card Refinancing,1899,7,28,50.0,0.23802577948082637,0,0,MI,40,Master's,Widowed,2,123,0
8,2020-05-01,12083,0.14468017629898253,48,507,71786,0.30660169029842943,10,Mortgage,Credit Card Refinancing,357,7,25,56.0,0.8375059576869368,0,0,NC,50,Bachelor's,Widowed,3,202,0
9,2021-04-11,46917,0.06194329779417787,24,794,88304,0.538421265940879,4,Mortgage,Credit Card Refinancing,1090,12,3,3.0,0.8583358136488795,0,0,OH,23,Bachelor's,Single,4,6,1
10,2023-05-23,20816,0.18432845630920597,60,734,123606,0.1630277156803517,17,Own,Business,284,11,28,35.0,0.37202888937023126,0,0,GA,58,Master's,Single,1,81,0
